SymbolID,QuoteDT,Open,Volume
7688,20180829,51.5,620543
7688,20180830,50.05,253723
7688,20180831,52.1,297808
7688,20180904,53.45,208271
7688,20180905,53,262457
7688,20180906,51.8,264423
7688,20180907,52.95,502872
7688,20180910,56.1,339454
7688,20180911,54.45,177656
7688,20180912,54.95,421059
7688,20180913,51.65,176249
7688,20180914,52.3,279288
7688,20180917,53.1,279273
7688,20180918,53.2,159021
7688,20180919,52,137098
7688,20180920,52,327630
8601,20180817,16.8,283630
8601,20180820,16.55,112818
8601,20180821,16.8,101252
8601,20180822,16.7,198256
8601,20180823,17.6,147756
8601,20180824,17.3,148409
8601,20180827,17.4,91383
8601,20180828,17.55,79010
8601,20180829,17.3,73740
8601,20180830,17.35,126247
8601,20180831,17.6,185593
8601,20180904,17.95,182134
8601,20180905,17.5,110981
8601,20180906,17.15,273569
8601,20180907,16.3,139118
8601,20180910,16.85,189840
8601,20180911,16.3,87399
8601,20180912,16.75,129458
8601,20180913,16,326930
8601,20180914,14.6,93927
8601,20180917,15.15,71577
8601,20180918,15.4,112542
8601,20180919,15.1,84970
8601,20180920,15.35,138531
9092,20180817,7.47,30013892
9092,20180820,8.1,21218377
9092,20180821,8.16,12846057
9092,20180822,8.45,10559523
9092,20180823,8.04,21316167
9092,20180824,7.84,23499781
9092,20180827,8.5,12175181
9092,20180828,9.09,26082995
9092,20180829,8.37,10277758
9092,20180830,8.09,13165443
9092,20180831,7.91,11480997
9092,20180904,7.53,15957197
9092,20180905,7.48,15047103
9092,20180906,7.3,17150338
9092,20180907,7.07,14851239
9092,20180910,7.13,13524892
9092,20180911,6.54,15453987
9092,20180912,6.72,23496077
9092,20180913,7.78,18653783
9092,20180914,7.32,10477147
9092,20180917,7.25,13971697
9092,20180918,7.6,10228206
9092,20180919,7.73,16007646
9092,20180920,8.54,16719816
9218,20180817,12.49,226066
9218,20180820,12.17,319748
9218,20180821,12.68,668861
9218,20180822,13.99,630820
9218,20180823,13.45,1164830
9218,20180824,12.9,613826
9218,20180827,12.92,418229
9218,20180828,12.86,145046
9218,20180829,12.82,250961
9218,20180830,12.93,223930
9218,20180831,13.32,128096
9218,20180904,13.51,165286
9218,20180905,13.22,169552
9218,20180906,12.35,620272
9218,20180907,11.25,225693
9218,20180910,11.39,143743
9218,20180911,11.27,205015
9218,20180912,10.98,228580
9218,20180913,10.96,200471
9218,20180914,11.26,114310
9218,20180917,11.08,120221
9218,20180918,10.64,138202
9218,20180919,10.68,115144
9218,20180920,10.74,139522
9363,20180817,18.93,2731323
9363,20180820,20,1293388
9363,20180821,19.58,831507
9363,20180822,19.86,798223
9363,20180823,19.34,1127044
9363,20180824,19.28,1551402
9363,20180827,19.59,886501
9363,20180828,19.77,1046302
